AIDS,PIB,Usuários Internet,Crescimento Populacional,Desemprego,Investimentos Educação,Analfabetismo 15 e 24,Analfabetismo 25 e 64,Qtd Professores EF,Crianças Fora Escola,Qtd Alunos por professor,Qtd Alunos EF
0.0,2.99,31.0,0.66,11.1,3.19,141572.0,383931.47,4079.0,14.97,23.16,85.03
0.0,3.08,32.0,0.7,11.5,3.19,5318.0,48469.75,4079.0,14.97,23.16,85.03
0.0,3.2,34.0,0.67,11.7,3.19,5318.0,48469.75,4079.0,14.97,23.16,85.03
0.0,6.62,8.37,1.48,14.5,3.19,5318.0,48469.75,4079.0,14.97,23.16,85.03
0.0,7.52,9.0,1.44,14.0,3.19,5318.0,48469.75,4079.0,14.97,23.16,85.03
0.0,7.89,9.8,1.41,14.1,3.19,5318.0,48469.75,4079.0,14.97,23.16,85.03
0.0,8.45,10.6,1.38,13.9,3.19,5318.0,48469.75,4079.0,14.97,23.16,85.03
0.0,8.78,11.4,1.34,14.0,3.19,5318.0,48469.75,4079.0,14.97,23.16,85.03
0.0,8.72,12.2,1.3,14.1,3.19,5318.0,48469.75,4079.0,14.97,23.16,85.03
1.0,15.84,11.09,1.97,4.8,3.19,78306.0,461142.37,4079.0,3.94,23.16,96.06
0.0,17.71,15.9,1.9,4.4,3.19,67176.0,458898.29,4079.0,2.49,23.16,97.51
1.0,18.53,18.12,1.83,3.9,3.19,84031.0,466749.55,4079.0,2.67,23.16,97.33
1.0,18.5,17.8,1.77,3.9,5.87,84069.0,473412.82,4079.0,5.37,23.16,94.63
1.0,19.76,19.08,1.73,5.5,5.87,74853.0,433052.23,84122.0,5.12,13.67,94.88
1.0,20.84,27.62,1.71,7.4,5.87,70008.0,418596.74,39599.0,6.41,29.15,93.59
0.0,2125.06,53.68,0.31,8.4,4.36,70008.0,418596.74,39599.0,0.75,29.15,99.25
0.0,2276.29,54.39,0.17,8.4,4.14,8217.0,176733.7,39599.0,1.01,29.15,98.99
0.0,2072.82,55.83,0.27,10.7,4.14,8217.0,176733.7,39599.0,0.68,29.15,99.32
